Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Timer Control,Refrigerant,Custom Bundle,Number of Heat Settings,Year Manufactured,Smart Home Compatibility,Heating Element Format,Air Direction,BTU Heating Rating,Heating Element Material,Tank Capacity,Control Style,Energy Star,Energy Efficiency Ratio (EER),Annual Fuel Utilization Efficiency (AFUE),Area Covered,Cable Length,Width,EC Range,Current Rating,Item Depth,Type,Tonnage,Heating System,Mounting Location,Operating Sound Rating,Power,EAN,Location,Heating Technology,Room,Modification Description,Battery Included,Bundle Description,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Room Coverage Area,Height,Heating Wattage,Colour,Energy Rating,Time Control,Contents of the package,Material Type,Switch Car heater,Air Outlet Car heater,Item Type,Size:,Core Material:,Heating element:,Manufacturer Part Number,ISBN,Size,Heating Method,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,ProductGroup,PartNumber,Label,Studio,Manufacturer,Binding,Warranty,Publisher,ProductTypeName,Model Number,Item Height,Package,Piece Count,Item Weight,Room Size,Indoor/Outdoor,Product Depth (in),Wattage (watts),Heater Type,Product Width (in),Area Heated (Sq Ft),Heater Controls,Color Family,Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Portable Heater Features,Country of Origin,Prop65_fl,Prop65Warning,SKU,Application/Usage,Area Coverage,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Product Type,Timer,Weight (Approximate),Heat rating (BTU/hour),Pack Size,Heat Output,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Department,Style,Ventilation Type,Chamber Depth,Finish Type,Model No.,Assembled Product Dimensions (L x W x H),MaterialType,Voice Control Hub Required,Remote Access,Smart Home,Requires Hub?,Works With,Power Options,Item Weight ‏,Hight,New Title,Fuel Type,Heating Element,Minimum Heat Power,Item model number,Warranty Description,Batteries Required,Batteries,Is Assembly Required?,Is Discontinued By Manufacturer,Product Dimensions,item_width,item_length,Mount Type,package_length,Package Dimensions,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Heating Technology Type,Vented,Number of Cool Speeds,Product,Size Type,Automatic shutoff,Installation,Timer Included,Anti-freeze setting,ACLI Safety Plug,Remote Control,Accessories Included,Oscillation,Tax,VAT Rate,For,COUNTRY  OF ORIGIN,Amazon Title,Generic Keywords,Category 1,Category 2,Weight (lbs),Length (in),Width (in),Height (in),Feature Bullet 1,Feature Bullet 2,Safety Tip-Over Switch,Indoor Safe,Ignition,Heat Settings,BTU Per Hour,Recommended Location,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Country Of Origin,TAX,Handling Time:,Questions,Product Style 3,Product Style 4,Product Group,Product Style 1,Product Style 2,Assembly,Dimensions,Air Flow,Product Features,Overall Width,Special Features,Wattage,Heating Element Type,Cord Length,Overall Height,Plug Type,Power Type,Assembled Product Weight,NumberOfItems,Bundle Listing,Item Location,Category,IsAdultProduct,Shipping Weight,Mount Location,Product Weight (lb.),Product Weight lb,Product Depth in,Package Condition,Area Heated Sq Ft,Area Heated (Sq. Ft.),Heat Output BTU/hour,Functionality Check II,Product Lot Quantity,Returnable,Brand:,Control Style:,Power:,Energy Efficiency Ratio (EER):,Material:,Number of Heat Settings:,Cable Length:,Power Source:,Mounting Location:,Tank Capacity:,Operating Sound Rating:,Heating Element Format:,Features:,Color:,MPN:,BTU Heating Rating:,Item Depth:,Area Covered:,Heating Element Material:,Item Length:,EC Range:,Condition:,Item Width:,Annual Fuel Utilization Efficiency (AFUE):,Country/Region of Manufacture:,Model:,Energy Star:,Voltage:,Style:,Custom Bundle:,Heating System:,Modified Item:,Mounting,Product name,Power line,Product Meas,Heating power,Use,Net Weight/Gross Weight,Box Size,Package Include,manufacturer_part_number,Maximum Coverage Area,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,BoxSize,Rated Voltage,Main material:
"Lifesmart 6 Element 1500W Portable Electric Infrared Quartz Space Heater, Indoor",113.98,30-day returns,"['Pros- Shorter cabinet makes smaller footprint, Nice large easy read temp setting, Looks good, Does a good job heating a coolish 300 sq ft. room.Cons- Shorter cabinet requires faster fan setting I guess. My other larger cabinet one blows slower and much quieter. I really wish it had fan speeds. Lot louder.Tip for the day,Some people complain these heaters wont heat the room. Make sure and close the doors of the room. But the other room is venting warmer air into the cooler room you say. Does not matter close the doors and it will work.', ""Great little heater, I live in an apartment I use it in my living room when I get chilled it helps bring my room temperature up so I'm not setting here freezing it really does help for a small space heater it works just like the larger ones it has temperature control it comes with a remote control you can turn it on and off set the temperature I'm using it right now"", 'item works great for room heating. they are a very safe heater.  I have 4 of these units in my home plus a wood burning fireplace.  I also have a large heat pump.  no worries about the cold.', 'I bought a life smart heater about 5 years ago and it has been greatly used due to the long winters we have in this part of New York. When it broke this year, I bought the same brand as I felt it was a good value for what we had paid.  It heats quickly and has a strong blower to push the heat in to the room. We run this on a dedicated circuit and find it is very economical.', ""Heats well and fan is quiet, turns off when not needed. Warms entire room but portable enough to direct the heat towards a area where i'm sitting."", 'I have one in my living room and one in my basement. My electric bill only went up about 15$ a month. They are a good full time heater or a good spot heater.', ""This is the second one of these we've purchased in the last year. Love the digital temp. selector and the remote makes this a very convenient area heater. The oak cabinet makes it blend right in like a piece of furniture. Priced right and a great heater."", ""For the price it is a good choice. Doesn't heat as well as the Edenpure it replaced. It is quite and for the money seems well built. Only time will tell if was a good purchase."", 'Heater is good for medium size room. I actually heat about 350 sf of room with it. The thermostat can be set at a comfortable temp and easily changed is easy to use remote.', ""I was very leary on buying something that says SAVE MONEY BY LOWERING YOUR HEATING BILL. This thing does not do what the advertisement said it would. We have a very small house total sq ft less than 1000 and it wouldn't even heat a room less than 200 sq ft. I would not recommend it.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Life Smart Labs,Electric,Wood,120 V,LS-1000X-6W-IN,Brown,"Timer, Indoor, Digital Display",13 in,15 in,LS-1000X-6W-IN,Infrared,Unknown,,0817223012167,12 Hours,,,2,,,,,,,,"Switch, Remote Control, Digital",,,,1250 to 1499 sq ft,6 ft,14.8 in,,,,"Electric Portable Heater, Infrared Heater",,Convection,"Garage, Cabinet",Quiet,1500 W,0817223012167,,,,,,,,,,,,,,,,150 sq ft,18.3 in,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
= Newair Portable Ceramic Space Heater With Remote Quietheat15 White,110.99,All net proceeds go to charity, ,,Newair,,,,Quietheat15,White,,,,Does not apply,,,None,Does not apply,,,,,,,,,,,,Remote Control,,,,,,,,,,Prtable Space Ceramic Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Portable Space Heater 1500-W Electric Ceramic Fireplace W/ Nonslip Base,110.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,"Electric, Battery",Ceramic,120 V,CA20100,Black,"Timer, Auto Shut-off",,,CA20100,,,,0046013769343,,,,1,2000,,Coil,1-Way,Less Than 2000 BTU,Brass,,"Dial, Touch, Remote Control, Push Button, Digital",,4.1-5,Less Than 80%,100 sq ft or Less,72 in,,,,,,,Convection,"Floor, Cabinet, Window",Standard,1001-1500 W,0046013769343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage AZTEC 23.5” X 35.5” Sun Picture Radiant Heater Model 2236.,,6 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","Aztec International, LTD",Electric,Metal,110 V,2236,Multicolor,Switch,"23""",35.5”,2236,Corded,United States,None,Does not apply,Unknown,None,No,1,Unknown,None,Electric,None,Unknown,Unknown,None,Switch,4 Stars,Unknown,Unknown,Unknown,6 Feet,23.5”,A+ - G,Unknown,"1""",Radiant Desk Heater,Unknown,Radiant,Wall,None,401-500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVH10 1500-Watt Electric Whole Room Vortex Portable Heater Automatic Climate,111.99,30-day returns,"['Great heater. Very quick heating a medium size room, perfect for a bedroom and/or living room. Love it.', ""Amazing, smooth, hardly know its on, yet it fills the room.  Do not hesitate.   Buy it.  No other space heater don't even comes close...quiet...thermostat,  one of the coolest devices I've purchased in years.  Good warrantee.   Never had to put it on high, except one cold morning for 10 min.  Hard to understand how it is so efficient.   Genius inventor.  I'm in love with this thing.  But most important I am warm and comfortable.   Read the NYTimes review on the best space heaters.  They said they had tested 100 different ones if I remember.   And this was number one.  Hands down.  So I ordered it.  And it is.  Dig up that article and read what their team said.  Anyway,  no way you can lose on this one.  I never write reviews...but I have to here.  You will write the same review as me.  "", 'Great product.  All the the dimensions one would want:  safety, heat, air flow, and lightweight.  The manufacturer needs to make a model that oscillates.', 'As the description says it heats the entire room.  That means there is no blast of hot air coming out to warm you instantly.  The air is warm of course.  A closed room would heat the best--I do not use it that way unfortunately.  Over all I like it.', 'I use this exclusively as heat in my RV! Much better than paying for propane as long as your getting elect for free. ', 'This heater is not a whole room heater as advertised in the description. It’s a nice space heater to keep you warm when it close to you, but wouldn’t warm my room over 67 degrees. Much better heaters that work as this one, but half the price. Save your money. ', 'Fan/heater work well, quiet.  However, the display is only on when unit is running. :(Other units show room temp as long as plugged in.', 'Used in a bedroom in the basement, Heats up the space nicely', 'Bought about a year ago, not heavily used, already died.', 'It worked for a week and quit.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Vornado,Electric,Plastic,120 V,EH1-0096-43,White,"Heat Efficently, Heat Differently, Auto Climate Control, Superior Support, Heat Safely, Indoor",9.3 in,,AVH10,,,,0043765009666,,,,2,,,,,5118BTU,Plastic,,Push Button,N/A,N/A,N/A,Medium Sized,,,,,,Electric Portable Heater,,Forced Air/Fan,Desk/Tabletop,None,1500W,0043765009666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado Velocity 5 1500W Space Heater with Auto Climate Control Tuned Heat White,110.0, , ,,Vornado,Electric,,120 V,Velocity 5,White,,,,Does Not Apply,,,,Does Not Apply,,,,,,,,,,,,Touch,,,,,,,,,,Portable Heater,,Forced Air/Fan,Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58911 US001 Sylvania 500W/T6/115V EdenPURE 6 Pack Infrared Heater Element,111.99,125 sold,"['Replaced heating element in my Gen4 heater and I really feel the difference. Heater blowing out much more heat. Glad I ordered them. Keeps room nice and comfy and now I can lower my thermostat a bit more.', 'Good quality product looks good solid and in good condition. I also installed them in my heater and all three bulbs work great as expected. I recommend this product. ', ""We have several Eden Pure heaters, but after a time they do need to be repaired. It's nice to see that I can still get the needed parts to make them operate at a great efficiently again."", 'Purchased and installed bulbs. Heater working just fine. Was easy as bulb replacement instruction was included in package.I believe is good deal. Thanks.', 'easy to install, used 3 in gen4 and 3 in a gen8. Both are working great.like new. installation took less than 15 minutes in each heater.', 'This product was the same items that were in the Gen 4 when I got it.', 'This item  just what I needed the price was great and the shipping was out standing no need to go to any other this is right place thanks a lot', 'Good quality, good service, instructions provided, they are still working a year after installing. The only drawback is they were causing radio interference on the AM band.', 'works great I need 3 more for another heater, but I wanted to make sure it was balbs not heater', 'The product was shipped in a tight fit container so it could break replace all three coils and heater work just like brand new again']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",EdenPURE,,,,US001,Beige,Quartz,,,US001,,,,0756225835100,,,,,,,,,,,,,,,,,,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heller 2000W Oscillating Flame Effect Ceramic Tower Heater Fan+Remote HCF2000,149.99, , ,New,Heller,"Electric, Fan","plastic, Ceramic",240 V,HCF2000,,"Auto Shut-off, Oscillation, Timer",n/a,n/a,does not apply,,,,9312737101518,,,,3,2000,,n/a,,n/a,n/a,n/a,Rotary Knob,,n/a,Less Than 80%,11 - 20 sq m,,,A+++ - D,,n/a,Tower Heater,,Forced Air/Fan,Floor,Standard,1501-2000 W,,,,,,,,,,,,,,,,,,,,Black,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lifesmart 4 Element 1500W Portable Electric Infrared Quartz Space Heater, Indoor",114.99,243 sold,"['I have no problems with this unit.  The only thing, which is not bad, advertised that fan would run and not go off unless switched off in rear.  On mine, when the heater goes off, fan will run until the unit has cooled and then will go off.  Comes back on when the heater comes back on and gets warm.  This is not a problem, some might like it better that way, I just wish there was a switch to turn it off or on just for cool air circulation but, like I said, not a problem.  My heater in in the master bedroom, about 20 by 20, set it on 70 deg and feels really nice, do not have to run the reverse cycle air conditioner and heat the whole house.  Thought about buying another for the den, will run this one for about a month or so see if it keeps up the good work.  Jim in North Florida.', ""I purchased this heater in lieu of getting an EdenPure, because of its pricing.  The little fellow puts out good heat and looks very nice in my living room,  My remote control works great, even 20 feet away , or so.My main beef which has been mentioned before by others is that I do not think the thermometer in the heater is properly calibrated.  When I place the unit in Eco mode (which is supposed to try to keep the room as close as possible to 68 degrees, and is the most efficient setting) I too complain that I have walked into the room when the air temperature on a wall thermometer was 55 degrees Farenheit (and felt like it), and the heater is sitting on the floor, not running.  By the way, the floor is several degrees colder than up on the wall.The heater works best when in high, or low mode, with the temperature set by user.  I think the Eco setting is almost useless as advertised.So how could I recommend?  Because otherwise the heater seems to do fine, and really it costs next to nothing compared to an EdenPuke ( my parents have one which is such a disappointment).  C'mon guys, fix this little glitch and give me one with the fix that works because I described your product so honestly."", 'With default setting of 72 degree, unit keep shutting down with room temperature below 60 degree. Unit is very noisy when trying to heat up the room. Finally set temperature to 85 degree. At this temperature, unit was able to heat the small root to 65 in ~2 hours. The larger unit with fireplace work much better. Able to bring room temperature to 65 in less then 1 hour. Fan noise is much lower.', 'Wanted something for a little supplemental ""zone-type"" heat in different areas of our 2100 square foot home. The wife likes a temperature of around 65 and I like 70, so we leave the central heat set to 65 and this little heater goes in whichever room I\'m in whether it\'s the den, office or living room and does a fantastic job of bringing the extra comfort of heat wherever I put it. It\'s super quiet so you almost have to check the lights to see if it\'s operating. The remote function comes in real handy as long as you keep it close, I usually have to get up and find it  in the last room I came from.  Can\'t say how economical it is yet as I haven\'t had it long enough to compare the bill. All-in-all, I am satisfied and am considering a couple of these as Christmas gifts in the family. I hope this helps anybody looking at these and I am not a ""paid"" spokesperson. ;)', 'I have several of these units which I purchased from eBay.  They are of good quality and are very easy to use and the power savings are great.', 'This is my third brand of heater. The other two work great, so I thought I would buy this one based on its apperance and my satisfaction with the other two.  Now I have to contact the manufaturer to see if this unit is defective. Bummer deal when you buy something new.  Hopefully this can all be resolved quickly so I can enjoy it or purchase a different one.', 'Heating unit features are very nice,  controls on unit and remotes are easy to use.   Supplies heat and warm spaces as stated.', 'Have been using this type heater for several years but was pleasantly surprised when this turned out to be several inches shorter (front to back) than the ones I had been using. It fits in our space better than others and heats just as well. Also this heater was priced about half of the others.  Shipping was as promised..Received it in 3 days in good condition..', 'Great price, Nice size, Love the features and it functions as advertised.  Real wood exterior, a handy little portable heater that works great and heats up a surprisingly large area.  A great value, would definitely recommend!!!', 'I  am so glad I bought this heater for my den, works great and looks great. I love that it has a fan on it to really warm the room.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Life Smart Labs,Electric,"Wood, Ceramic",120 V,LS-1001HH,Brown,,14.8 in,16.2 in,LS1001HH,Infrared,Unknown,,817223011498,12 hrs,,,1,,,,,,,,"Remote Control, Touch, Digital",,,,,,,,,,,,Infrared,Floor,,1001-1500 W,817223011498,,,,,,,,,,,,,,,,,15.8 in,,,,12 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800W 12V Car Auto Ceramic Heater Fan Demister Defroster Heating Heated Winter,114.44,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MATCC,,,12V,,White,,,,kjW3797317,,,,6036127759037,,,,,,,,,,,,,,,,,,,,,,,,,,,800W,,,,,,,,,No,,,,,,,,,,800W,,,,1 x Car Heater 2 x Pliers 2 x Fixing Ring,Metal,Single switch,2,Heating & Fans,Approx. 18x12x9cm,Pure aluminum,PTC ceramic,kjW3797317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lifesmart 6 Element 1500W Portable Electric Infrared Quartz Space Heater, Indoor",114.99,30-day returns,"[""This heater worked awesome for about 4 months. I cleaned the filter regularly. All of a sudden it would come on and not put any heat out. Because the heat blows. The blower part came on but the heater wouldn't turn red or come on. I have 2 of these. It definitely lowered the cost and worked awesome until it went out. My one is still working but I've only had it 2 months. The first went out after 4 months. I sent it back to be told its the heating element and literally the price for the element is about the cost of the heater its self. I would not recommend it. Their worth it for the time they work. But to expensive for it to go out after a time frame that short."", ""I've looked, but can't find anything wrong with it.  Heats like an absolute champ!!  Very pleased with the purchase!  (Oh, I'm not a robot!)"", 'Seems to hold temp consistent hopefully will not break the bank on power, using as freeze protection in RV', ""The heater is small enough to provide heat when I needed it, but has to directly be pointed at me.The good part is that it is remote controlled so you don't have to get up all the time to adjust the temperature as needed.Also, it looks good and blends with current modern decors.The only thing was that it takes a while to heat me up when I am in a big room and it gets very warm when I am in a small room that it has to be turned off.Again, thankfully, it is remotely controlled."", ""Very happy so far with unit.  I've had it only a few weeks, but it has made my home office much more comfortable to work in.  The room is almost all windows, so on cold and damp days, I was miserable.  This little unit heats up the space so well I've had to turn it completely off occasionally.  Very happy with that!  Still learning to use the settings and remote."", ""I bought this infrared heater to replace one I was using for my Coatimundi.  He needs the temperature a constant 73 degrees and we have been having quite frigid winter weather and just can't heat the whole house to this temp.  This heater is GREAT!  Runs when it needs to and the room is toasty and warm and helps my pet to be more active than just sitting in his bed covered with his blanket.  Also I know  he won't get burned or hurt.  This heater is just wonderful and is nice and small in size but really kicks out the heat.  The value was great too.  I would recommend anyone who wanted to warm up a room or two to get this heater.  Also is very classy looking I would not mind having it in any room in my house."", ""this little heater is just wonderful. I had a Sun Heater that had quit working and I was cautious in purchasing a heater at such a low price.  I am sooo glad did. It heats my whole apartment. And having a remote is truly nice.  It has reduced my electric bill, since now I don't have to use my baseboard electric heat!!!!  love this product"", 'The advertisement says will heat 1800 sq. ft.  Not even close.  we have it in our kitchen which is 480 square feet.  We set the temperature at 80 degrees and the thermometer on an inside wall shows 66 degrees.  Radiant heat is supposed to heat ""things"" not the air.  Chairs and counter top are very cool, not heated at all.  My wife uses it (aimed at her) to keep warm.  I sit at counter about four feet away and cannot feel any heat.', 'This was smaller than I thought it would be so it does not heat the living area as quickly as I thought it would but it does warm the area - just takes a little time. I LOVE that is has a remote!', 'This is the fourth heater that I have purchased from this company and all of them are from the same manufacture, now one of them from the first two I ordered a few years ago was replaced for a defect. This one replaced one of the first ones , the heater just would not work after we turned it on so I thought it would be easier to just buy another one for our season. In one month I save more money than the cost of the heater so what is there to lose just savings. Now I do plan on shipping back that bad heater and having paying them to fix it.These heaters are GREAT.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Life Smart Labs,Electric,Wood,110 V,ZCHT1097US,Brown,"Portable, Remote Control, Indoor, Quartz, Vent Free",10.8 in,13 in,ZCHT1097US,Infrared,Unknown,,0817223016752,12 Hours,,,3,2017,,,,,,,Touch,,,,,,,,,,Heater,,,Portable,,1500 W,0817223016752,,,,,,,,,,,,,,,,,16.2 in,1000 and 1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW!!  1,500-Watt Electric Outdoor-Indoor Infrared Heater & Tripod Combo ",114.99,28 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,Electric,,,HS-1500-TT,,,,,,,,,854271005277,,,,,,,,,5200,,,Switch,,,,150 SQ FT,,,,,,Portable Heater,,Infrared,,0 DECIPELS,1500 WATT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
